Provincia,Cuenca,Subcuenca,Codigo_cuenca,ID_local,Tipo_geoforma,Clas_prima,Origen_GE,Act_GE,Forma_GE,Estruct_I,Estruct_II,Longitud,Latitud,Area,Largo_total,H_max_total,H_media_total,H_min_total,Pendiente,Orientacion,H_max_parcial,H_media_parcial,H_min_parcial,Img_ba_F,Img_ba_S,Img_ap_S_Bing/Google Earth,Img_ap_S_Desconocido
4,3,19,9,2863,2,9,1.0,2.0,1.0,2.0,2.0,-69.8018,-29.2514,0,607.0,4990.0,4951.0,4914.0,17.123,2,4990.0,4951.0,4914.0,3,0,True,False
4,3,19,9,2364,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.4864,-29.5996,1,76.0,5396.0,5345.0,5310.0,15.414,7,5396.0,5345.0,5310.0,3,0,False,True
4,3,19,9,2334,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.4566,-29.6619,1,268.0,5784.0,5774.0,5764.0,9.036,5,5784.0,5774.0,5764.0,3,0,False,True
4,3,19,9,2830,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7894,-29.0685,0,787.0,5803.0,5628.0,5467.0,25.633,6,5803.0,5628.0,5467.0,3,0,False,True
4,3,19,9,3039,2,9,1.0,2.0,1.0,1.0,2.0,-69.9028,-30.0523,0,448.0,4744.0,4688.0,4636.0,22.849,0,4744.0,4688.0,4636.0,3,0,True,False
4,3,19,9,2292,2,9,1.0,1.0,1.0,1.0,1.0,-69.4181,-29.6178,1,187.0,5076.0,5064.0,5052.0,24.228,0,5076.0,5064.0,5052.0,3,0,True,False
4,3,19,9,2979,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.8693,-29.7124,1,302.0,4911.0,4862.0,4812.0,21.299,5,4911.0,4862.0,4812.0,3,0,False,True
4,3,19,9,2798,2,9,1.0,2.0,2.0,1.0,2.0,-69.7768,-29.2842,1,140.0,4604.0,4582.0,4567.0,20.476,6,4604.0,4582.0,4567.0,3,0,True,False
4,3,19,9,3134,1,6,-1.0,-1.0,-1.0,-1.0,-1.0,-70.0098,-29.3476,0,1295.0,5338.0,5221.0,5145.0,11.967,6,5338.0,5221.0,5145.0,3,0,False,True
4,3,19,9,2800,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7774,-29.0148,1,362.0,5293.0,5243.0,5205.0,14.437,6,5293.0,5243.0,5205.0,3,0,False,True
4,3,19,9,2377,2,9,1.0,2.0,1.0,1.0,1.0,-69.4946,-29.2394,1,441.0,4658.0,4615.0,4576.0,18.912,3,4658.0,4615.0,4576.0,3,0,True,False
4,3,19,9,2780,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7674,-29.098,0,594.0,5166.0,5065.0,4962.0,26.337,0,5166.0,5065.0,4962.0,3,0,False,True
